"","Analysis.Rank","Identifier.1","Identifier.2","Area.Flash.TCD.N","Area.Flash.TCD.C","sampleName","SampleWeight","Corrected.Area.N","Corrected.Area.C","Weight.N.perCup","Weight.C.perCup","Weight.N.kg","Weight.C.kg","C.N.Ratio"
"1",1,"Sirot_Box 1","A1",68861,540027,"GEL A",0.332,68861,538860,60.7376297080687,165.875211577104,182944.667795388,499624.131256338,2.73101226330978
"2",2,"Sirot_Box 1","A2",143291,1107008,"GEL A",0.712,143291,1105841,126.387297577713,340.406802964845,177510.2494069,478099.442366356,2.69336246196369
"3",3,"Sirot_Box 1","A3",NA,NA,"GEL A",0.307,NA,NA,NA,NA,NA,NA,NA
"4",4,"Sirot_Box 1","A4",94151,874736,"H_1998_1",0.538,94151,873569,83.0442278596648,268.907402112236,154357.300854395,499827.884966981,3.23812273342656
"5",5,"Sirot_Box 1","A5",17480,245684,"H_1998_3",0.555,17480,244517,15.4179254918901,75.2687323408655,27780.0459313334,135619.337551109,4.88189752768344
"6",6,"Sirot_Box 1","A6",26231,355703,"H_1998_5",0.63,26231,354536,23.1365905936938,109.135460066994,36724.7469741172,173230.888995228,4.71700701211958
"7",7,"Sirot_Box 1","A7",24535,332567,"H_1998_8",0.685,24535,331400,21.6406637267461,102.013593728709,31592.2098200673,148924.954348481,4.71397712273624
"8",8,"Sirot_Box 1","A8",22077,307710,"H_1998_10",0.639,22077,306543,19.4726282084929,94.3619585467102,30473.5965704115,147671.296630219,4.84587686553551
"9",9,"Sirot_Box 1","A9",27015,375740,"H_2001_29",0.896,27015,374573,23.8281039567168,115.303373095184,26593.8660231214,128686.800329446,4.83896550496126
"10",10,"Sirot_Box 1","A10",24170,319901,"H_2001_30",0.629,24170,318734,21.3187219187061,98.1146674216248,33893.0396163849,155985.162832472,4.60227718133206
"11",11,"Sirot_Box 1","A11",23462,320928,"H_2001_31",0.614,23462,319761,20.6942430143435,98.4308049012849,33703.9788507223,160310.757168217,4.75643418476632
"12",12,"Sirot_Box 1","A12",19507,269651,"H_2005_63",0.559,19507,268484,17.2058050669508,82.6464022289041,30779.6155043842,147846.873396966,4.80340221845549
"13",13,"Sirot_Box 1","B1",60638,506453,"GEL A",0.291,60638,505286,53.4846776874845,155.540255645156,183796.14325596,534502.596718749,2.90812738096676
"14",14,"Sirot_Box 1","B2",24224,228073,"GEL A",0.124,24224,226906,21.366351665649,69.847605608348,172309.287626202,563287.142002806,3.2690468967916
"15",15,"Sirot_Box 1","B3",20464,282508,"H_2005_65",0.644,20464,281341,18.0499100266612,86.6041233350296,28027.8106004056,134478.452383586,4.79803628977143
"16",16,"Sirot_Box 1","B4",21252,298868,"H_2005_66",0.813,21252,297701,18.7449515190874,91.6401595251373,23056.5209336868,112718.523401153,4.88879149310272
"17",17,"Sirot_Box 1","B5",28221,378413,"H_1998_2",0.636,28221,377246,24.8918349717751,116.126192455584,39138.1053015332,182588.352917586,4.66523229754898
"18",18,"Sirot_Box 1","B6",30809,410399,"H_1998_4",0.619,30809,409232,27.1745346956316,125.972320424826,43900.7022546553,203509.402948022,4.63567534221942
"19",19,"Sirot_Box 1","B7",26442,360594,"H_1998_6",0.564,26442,359427,23.3226994197115,110.641037879085,41352.3039356587,196172.052977101,4.7439207566846
"20",20,"Sirot_Box 1","B8",31563,416287,"H_1998_7",0.697,31563,415120,27.8395870881308,127.784800931388,39942.018777806,183335.438925951,4.59003937547148
"21",21,"Sirot_Box 1","B9",33352,476292,"H_2001_32",0.643,33352,475125,29.4175429637023,146.255910441621,45750.4556200659,227458.647654153,4.97172420626979
"22",22,"Sirot_Box 1","B10",29972,408062,"H_2005_64",0.661,29972,406895,26.4362736180165,125.252930658549,39994.3625083457,189490.061510664,4.73791928727763
"23",23,"Sirot_Box 1","B11",28678,404379,"H_2005_67",0.662,28678,403212,25.2949237560883,124.119206863429,38209.8546164475,187491.249038412,4.9068820313623
"24",24,"Sirot_Box 1","B12",27863,376206,"H_2005_68",0.645,27863,375039,24.5760673901906,115.446820091797,38102.4300623111,178987.317971778,4.69753025408274
"25",25,"Sirot_Box 1","C1",52257,430368,"GEL A",0.304,52257,429201,46.0923645554747,132.119301273252,151619.620248272,434602.964714645,2.86640320034437
"26",26,"Sirot_Box 1","C2",72170,599616,"GEL A",0.511,72170,598449,63.6562747568481,184.218265399374,124571.966256063,360505.411740457,2.89395297012028
"27",27,"Sirot_Box 1","C3",70362,607580,"GEL A",0.362,70362,606413,62.0615602666114,186.669793041062,171440.774217159,515662.41171564,3.00781662979698
"28",28,"Sirot_Box 1","C4",30391,411381,"H_2005_69",0.774,30391,410214,26.8058451729995,126.274605726701,34632.8749005161,163145.485435014,4.71071159710692
"29",29,"Sirot_Box 1","C5",29237,399334,"H_2005_70",0.674,29237,398167,25.7879798401825,122.566223820697,38261.0976857307,181848.996766613,4.75284316880519
"30",30,"Sirot_Box 1","C6",24511,334207,"H_2005_71",0.6,24511,333040,21.6194949503271,102.518428652412,36032.4915838784,170864.04775402,4.74194373587165
"31",31,"Sirot_Box 1","C7",27727,371883,"H_2005_72",0.607,27727,370716,24.4561109904826,114.116087545963,40290.1334274837,188000.144227287,4.66615839249229
"32",32,"Sirot_Box 1","C8",26199,352538,"H_1998_9",0.634,26199,351371,23.1083655584684,108.161190229482,36448.526117458,170601.246418741,4.6806075468996
"33",33,"Sirot_Box 1","C9",25234,355755,"H_1999_11",0.626,25234,354588,22.2572043399516,109.151467027989,35554.6395206894,174363.365859408,4.90409601137834
"34",34,"Sirot_Box 1","C10",22245,298790,"H_1999_12",0.451,22245,297623,19.6208096434264,91.6161490836441,43505.1211605908,203140.020141118,4.66933580971457
"35",35,"Sirot_Box 1","C11",20858,283576,"H_1999_13",0.501,20858,282409,18.3974307728743,86.9328816877824,36721.4187083319,173518.725923717,4.72527293408592
"36",36,"Sirot_Box 1","C12",20532,281265,"H_1999_14",0.513,20532,280098,18.1098882265152,86.2214954020037,35301.9263674761,168073.090452249,4.76101753492681
"37",37,"Sirot_Box 1","D1",48653,407815,"GEL A",0.331,48653,406648,42.9135199632109,125.176897593821,129648.096565592,378177.938349912,2.91695711983387
"38",38,"Sirot_Box 1","D2",40906,334349,"GEL A",0.205,40906,333182,36.0804153416049,102.562139968977,176002.026056609,500303.121799886,2.84259865076194
"39",39,"Sirot_Box 1","D3",30068,399597,"H_1999_20",0.625,30068,398430,26.5209487236928,122.647182104193,42433.5179579085,196235.491366709,4.62453976974907
"40",40,"Sirot_Box 1","D4",27860,364180,"H_2000_23",0.584,27860,363013,24.5734212931383,111.744902535425,42077.7761868806,191344.011190797,4.54738887200165
"41",41,"Sirot_Box 1","D5",23148,318658,"H_2000_24",0.619,23148,317491,20.417284856194,97.7320394885989,32984.3050988594,157886.978172211,4.78673046768752
"42",42,"Sirot_Box 1","D6",22460,313651,"H_2000_25",0.564,22460,312484,19.8104465988473,96.1907538404406,35124.9053171051,170550.981986597,4.85555705978065
"43",43,"Sirot_Box 1","D7",24871,352761,"H_2000_28",0.554,24871,351594,21.9370265966131,108.229835466059,39597.5209325147,195360.713837651,4.93366022005773
"44",44,"Sirot_Box 1","D8",23645,324812,"H_2002_33",0.578,23645,323645,20.8556549345389,99.626401757176,36082.4479836313,172364.016880927,4.77694908502659
